Que signifie la racine allo- dans allophone?,autre
Quel détroit sépare l'île d'Anticosti de la Côte-Nord ?,le détroit de Jacques-Cartier
"Prenant sa source en Angola, quel fleuve de 2 574km a son embouchure au Mozambique?",Zambèze
Quelle est la langue officielle du Suriname?,le néerlandais
"Quel adjectif qualifie une cellule qui possède un noyau, par opposition aux procaryotes?",les cellules eucaryotes
"Quel mammifère africain est une cousine miniature de la girafe, mais présente sur ses pattes des rayures rappelant celles du zèbre?",l’okapi
Sous quelle marque la compagnie pharmaceutique allemande Bayer a-t-elle commercialisé l'acide acétylsalicylique à partir de 1899?,l’Aspirine
À quelle famille d'éléments chimiques appartiennent le calcium et le baryum?,les alcalino-terreux
"De quelle ville phare du mouvement hip-hop les rappeurs Kendrick Lamar, Dr. Dre ainsi que le groupe N.W.A sont-ils originaires?",compton
"En plus de l’orgue et bien qu’elles soient aujourd’hui surtout jouées au piano, pour quel instrument à cordes pincées Johann Sebastian Bach a-t-il composé la majorité de ses œuvres?",le clavecin
"Quelle scène moscovite présentant des opéras, mais aussi des ballets, a pour scène rivale le Kirov?",le Théâtre (du) Bolchoï
Quel vainqueur de la deuxième saison de La Voix a lancé en 2015 son premier album solo?,Yoan ou Garneay ( Yoan Garneau )
"Quelle merveille du monde antique, construite sous les règnes de Ptolémée I et II, se situait fort probablement sur l’île de Pharos et fut détruite par plusieurs tremblements de terre au Moyen Âge?", R. : le phare d’Alexandrie ou la tour de Pharos
En quels deux matériaux la statue chryséléphantine de Zeus à Olympie était-elle principalement construite?, R. : en or et en ivoire
"Lors de quelle guerre un moine bouddhiste nommé Thích Quảng Đức s’immola-t-il par le feu en guise de protestation, les images de cet évènement étant diffusées partout dans le monde après sa mort?", R. : la guerre du Vietnam
Quel nom signifiant soulèvement en arabe a-t-on donné aux insurrections populaires palestiniennes contre Israël?",intifadas
En quelle année le fleurdelisé fut-il élevé pour la première fois?,en 1948
