Dans quelle région administrative québécoise se situe la région touristique des Cantons-de-l’Est?,en Estrie
Au large de quel état américain l’archipel des îles Aléoutiennes est-il situé?,au large de l’Alaska
"Quel pays est situé directement à l’Ouest de Madagascar, comme en témoigne le nom du bras de mer séparant l’île du continent africain?",le Mozambique (le bras de mer s’appelant Canal du Mozambique)
Quel nom est donné à la langue anglo-française notamment parlée au Nouveau-Brunswick et dans laquelle on pourrait dire « Ej vas tanker mon truck pis ej va l’driver »?,le chiac
"Bien qu'il soit assez éloigné des principaux foyers de cette religion, quel pays asiatique possède la plus grande population musulmane du monde?",l’Indonésie
Dans quel organe les facteurs de coagulation sont-ils synthétisés?,dans le foie
À combien de degrés Celsius le zéro absolu correspond-il?,à -273.15 °C
Quel terme désigne les regroupements biogéographiques d'écosystèmes par régions climatiques?,les biomes
Quel minéral utilise-t-on pour représenter la dureté de 1 sur l'échelle de Mohs?,le talc
Quel chimiste russe a inventé le tableau périodique des éléments chimiques?,Dmitri Mendeleïev
"Selon une légende n’ayant jamais pue être prouvée hors de tout doute, quelle danse italienne aurait été nommée ainsi puisqu’elle ressemblerait à l’hystérie provoquée par la morsure d’une tarentule?",la tarentelle
"Quel groupe familial de pop rock ayant connu le succès grâce à son apparition dans les films Camp Rock avait pour trois membres les frères Kevin, Nick et Joe?",les Jonas Brothers (accepté les frères Jonas)
De quel compositeur la 9e symphonie est-elle surnommée Symphonie du Nouveau Monde?,Antonín Dvořák
"Quel groupe québécois nous a laissé sur son album éponyme Le picbois, Tous les palmiers et La complainte du phoque en Alaska?",Beau Dommage
"Quel est le prénom du frère cadet de Maurice Richard, lequel était surnommé le Pocket Rocket? ", Henri
"De quel royaume Richard Cœur de Lion fut-il roi et ce même s’il ne parlait que l’occitan, le latin et la forme de français la plus répandue à l’époque? ", R. : l’Angleterre
Quels deux hommes formèrent avec César le premier triumvirat?",Pompée et Crassus
"Dans quel territoire canadien se situe Dawson City, un village dont la population s’élevait à 40000 habitants lors de la ruée vers l’or en 1898 en raison de sa position sur les rives de la rivière Klondike?",au Yukon
Qui fut de 1748 à 1760 le dernier intendant de Nouvelle-France?,François Bigot
"Qui fut empereur de chine de 1279 à 1294 au début de la dynastie Yuan, laquelle eut lieu pendant la domination Mongole sur la Chine?","KUBILAI Khan (si seulement Khan, refuser sans demander de préciser)"
À quel architecte doit-on la Place Ville-Marie à Montréal ainsi que la pyramide de verre du Louvre ?,Ieoh Ming PEI
Quel mouvement pictural dérivé du baroque et ayant eu Jean-Antoine Watteau pour principal représentant est ainsi nommé à cause de son utilisation d’ornements nommés rocailles?,le rococo
"Dans quel pays s’est formé au 19e siècle le mouvement préraphaélite, lequel est ainsi nommé puisque ses adeptes visaient à imiter les maîtres italiens prédécesseurs de Raphaël?",au Royaume-Uni ou en Angleterre
De quelle ville américaine la plus haute structure fut-elle planifiée par l’architecte Robert Mills est consiste-t-elle également en le plus haut obélisque au monde?,à WASHINGTON D.C. (accepté Washington)
Qu’est-ce qui est étoilé dans le titre d’une des toiles les mieux connues de Vincent Van Gogh?,La NUIT étoilée
Quelle équipe actuelle de la MLB s’appelait autrefois Expos alors qu’ils évoluaient à Montréal?,"les Nationals de Washington (seule l’équipe ou la ville suffit, pas besoin des deux)"
La carcasse de quel animal sert-elle de « ballon » dans le sport national de l’Afghanistan nommé buzkashi?,une carcasse de chèvre ou de mouton
Quel sport était à l’honneur lors d’une demi-finale des Jeux olympiques d’été de 1956 opposant l’URSS à la Hongrie qui fut surnommée le Bain de sang de Melbourne?,le water-polo
"Comment appelle-t-on un ensemble de programmes dirigeant l’utilisation des ressources d’un ordinateur, comme c’est le cas de Linux et de Windows?",des systèmes d'exploitation ou OS
"Créé par le studio Valve, dans quel jeu vidéo une intelligence artificielle vous promet-elle du gâteau si vous réussissez à résoudre des parcours en vous téléportant au moyen d'une arme créant des portails inter-spatiaux ?",Portal
Quel homme marié à Marilyn Monroe pendant cinq ans est l’auteur de plusieurs pièces de théâtre critiquant la société américaine telles que The Crucible et de Death of a Salesman?,Arthur MILLER
Quel poète italien illustra une vision épique de l'au-delà dans sa Divine Comédie?,Dante
"Comment s’appelle le fils d’Hinata et de Naruto, lequel donne son nom à une série de mangas depuis la fin des mangas Naruto?",BORUTO Uzumaki
Qui considère-t-on souvent comme le premier auteur de best-seller québécois en raison de son œuvre Le Matou?,Yves BEAUCHEMIN
"Quelle série de romans se déroulant à Forks, dans l’état de Washington, met en vedette les personnages de Jacob Black, d’Edward Cullen et de Bella Swan?",Twilight
"Quel réalisateur nous a laissé les films 2001: A Space Odyssey, The Shining et A Clockwork Orange?",Stanley KUBRICK
"Quel jeu de hasard demande au joueur de compléter des rangées, colonnes ou diagonales sur une grille de cinq cases par cinq cases en fonction de numéros sélectionnés au hasard par un animateur?",le bingo
